5.338201 0.000000
34.203907 -122.760470
-588.961388 -2599.970991
-14113.349953 -6568.956584
-51419.440863 449593.587122
2249182.329313 6795209.070149
37772465.758831 -9044294.464942
617688.338070 -1493252569.244047
-7682727540.078259 -16285885312.580688
-93389737924.860580 106314949657.460800
430454101722.413452 4606302825334.584961
24239007326122.589844 34272893715545.226562
206610254657883.125000 -521759393881928.500000
-2426770683039409.000000 -13311600908069548.000000
-71524118596065520.000000 -55368544103539752.000000
-374187901448433792.000000 2038011603168492288.000000
10019410607715821568.000000 36012983687391662080.000000
197812194564026368000.000000 22251540841389129728.000000
361442321497240502272.000000 -7061885775388310765568.000000
-35885557533264113041408.000000 -90257579218926519189504.000000
-509217717944492503334912.000000 342077437002478704918528.000000
1124447820184638061543424.000000 22528477505616203506253824.000000
117323545234430645864759296.000000 203838295527356892394291200.000000
1195311498909550259587776512.000000 -2112168067778726571372707840.000000
-9375895543041476806846709760.000000 -67140667555098133698965405696.000000
-357175655578144244633522143232.000000 -385026303370480644268111167488.000000
-2427040325767466185221688262656.000000 8995396679132892565858961850368.000000
43255716311625767578278922551296.000000 187587870275491148518225059250176.000000
1019229476283345774595387613511680.000000 445807299191571594665284310401024.000000
3566291451595643051605545080324096.000000 -32779809002102637720561357328220160.000000
-164215659318718860920437915535802368.000000 -488691837194801880712959355898560512.000000
-2719559030659358420903321351349075968.000000 741310438010006952255150665047736320.000000
419316340611088074246670471714045952.000000 108493538935748840784958062182501711872.000000
558774619762342539353033351924530806784.000000 1166124455461943786208076218630840254464.000000
6697838781050485733884802012415671664640.000000 -7932478509735464948002890016304880680960.000000
-32454855988578802006967072086131067584512.000000 -333711096288689145848449188768250947698688.000000
-1757619635418102304018211004271693964247040.000000 -2436064033065679817887004136205218161360896.000000
-14728915880635590420675300432312468332609536.000000 38368943443345073030138057274377837232521216.000000
179039078940964448192554878559002313164324864.000000 961743976474074003471638515520204038006112256.000000
5172144001556247252950900838979093886559846400.000000 3863364753843093264698039058637139877103140864.000000
26335731511058168653829389269965283530345807872.000000 -148905686746150784764976930236497508072505212928.000000
-733313614761546001659886936689441147162674069504.000000 -2594186768822312494554869840965915006423133061120.000000
-14263795779064166662999778323897089139900703309824.000000 -1175744944014417070420877249970860261872706256896.000000
