3.098495 0.000000
7195570265734.423828 1780702788127.289551
16128266875494739424051200.000000 -3218945103604068170858496.000000
27792463125020688485407154953795928064.000000 -30575926758845794292222873221956894720.000000
18880215568609448661445581896324023963306313121792.000000 -133781954990013588228391781568072259135165826072576.000000
-118169761793493789273490916697397151728103168636690966937337856.000000 -457033167244284119404213234732668767824973803065285815658610688.000000
-760736346704080966650776411158096594202236958309746690824360816820130676736.000000 -1333159674558713220069584097036227201961535625533545091733023372544338558976.000000
-3032226869867579084452511947192336291768971177370969788299825253530097350576216561680384.000000 -3369115972313617158653004681676631084608929648598052714352007915644986412652264937226240.000000
-9831955714661631618256156279316053593784979349206777262462932778355961193907689110941020966516424704.000000 -7128107193123870789981316657197576637004719198140488817558801002623903682357232355099502142101127168.000000
-27479643800122027087632577532675342621608158224948212144954104757214141942593208413171092257009167745739690868736.000000 -10813214301421736242765098952100245122238985781326845933147732712161124303125858580039052786814175951698333270016.000000
-66244685304570861834279956817662882908239541470711118302539520922374039363980542748566664047085659180682155540649774084521984.000000 -708190077428496305647589450314509289906255157015973841224495171337084003528890337211613251706743458625100942549970090721280.000000
-130300156233118947828327223723913939557925155170771804485786696758978824369969299674121068732042594776691739664831250070974243824356818944.000000 80455165986294572783955962001015836677577536294192840938281545225260530876057311221122562507992234917819667376886553788830719586991079424.000000
-161420607496250679654222420302668813218050132737492906167401033157752806443942936715555454134336751046697901532322845373204701339531769419176064581632.000000 423436649754238015204904907595783910671984967688241344574278334096611770264015543630863846320553610700123898558374923857688359511271252604343528980480.000000
175316841922853219124678796415001096342261714866401705808631581466544880983193137194328025048637149542042181618447686626489902840882663445606959331442337339408384.000000 1573558972346489493493720177443288531127791533209754592859639293177280422924050242281551169354812705607561689493613707611062436651057354294708975732261085325033472.000000
2166645806556884979622985695074272667346953784277869542317294955813100882487400454555018339535042016341896594851038761366149622675932865652226021794897846323099984751952396288.000000 4879279298275929065178176784788544727682487088159352856603605828848997034170771244096486484809724524192339018855757964994062798750466724689397041776888186243196737507018407936.000000
9890618746762458203393101921011831759384412791361015031406469418816357597551644686788832485386257508338330973261485010222437552266128493353575600355806447858982405171116252813364153024512.000000 13102226429402052907875894534746099757112543500741174867644577253372493913736237994496200520920667800951784784598994989458687628945451560949897381232758649950249888117198160072495515828224.000000
34519157123458921558040520999763612669530424412294469603372102138204353194494223480458682087758484203682179905529118841185866433741889033557675286533213985995156158556521574383805857475754245813698560.000000 30095875059304220892377117321381096911098818648049757893286603911501827440437578445554597579262724753118581295771360806937227292908923504760183510507040994736876386766153970185325406423751043638624256.000000
102355184969499205047786773612679733609998214003817805435351678030768981772929326661733194172391426198367727214457601595017462444581379861387606451780639002819745888232946685919525992447556471906524128981985263616.000000 54389922580576097341215200094136992682033829398126050412210463228964910025432203612979588061275172286065244353066018631333479667589075093781006789949904880206477367384372533852491506553606696279554412497038475264.000000
