1.225262 0.000000
78713.283192 959302.543409
3069254026.291212 108294658158.026428
-77164578485467.093750 8565485263019395.000000
-29404839965909962752.000000 476185185102700216320.000000
-3463954840502670148501504.000000 10670542216278986614374400.000000
-281925245455638348800240648192.000000 -1525810131191584747787523194880.000000
-16297015229559860487866373187305472.000000 -270860069485166051917284960397950976.000000
-434861621647715328087687030728013381632.000000 -26847385126224816578832784015964491481088.000000
42876771807803734110173189401731229995237376.000000 -1918331645518798792095595333604612161985839104.000000
8449721299434700499432152408833657620789391785984.000000 -90542508280632441617056736390260821559799697113088.000000
866849023818722630541755157375877448068896435963166720.000000 -230264009942990862600989678792561567537252964858068992.000000
63775890263297168025100046642119493391414412369984344817664.000000 531311545069353398065675386568987451082840366706001386143744.000000
3169740190832615110626800996560120288974866751227182257715281920.000000 72676622368445722385128835697850358399870254089031788941358923776.000000
29058269349938740429402276584873182209054950506527363979553550630912.000000 6446686671384619736641954801658169319856801954344033748179782752796672.000000
-15784684770473037421610356699370809374493084735362016968452275786081107968.000000 413218812755477525828305102607626549171325133477839076021156506310430162944.000000
-2297093255914624307314321255100722079959113202975682897674308652508910136066048.000000 15382857489910915184209062068098708249082658275257355592393458748213064863055872.000000
-210022628005117228122168827236159602918005033471589220537449659716962174244734631936.000000 -502940708481602027224794835564096012797944572060516842348592763471866173314423586816.000000
-13900324677671020893986803760982371065780070681532206462708521447622234186527065881182208.000000 -162956435042228290831817995668348879489940531564560436951565347799604832109834243072327680.000000
-559926215474064931371126325122057594755923050038100750129906451850524616979959604359007830016.000000 -18729028908907888248233482993599883955590953745931729400242093549869623169595720765788200632320.000000
11224745119317450437157288895827786846541040257367215999767284390764128354699664703599615395495936.000000 -1499676876687906512675589675596395117309831477786979034937294211168675109428899103048347983647080448.000000
4981843975515308628012420583741931697779335996974828190366722002072779343167809543136364819491340681216.000000 -84810302330733608729541752217282621531652169958581017887826209432948823387064984799164336958761557032960.000000
598350834766081592301302158441215245767180765835374023298960357369423845576983494730299672613475661106905088.000000 -2061073395605117712349176046065713002111979006320555125151407679802215622279026464144228666015217535927975936.000000
49303748113637243543902380119433823300674553857090386959628955984774545987358739488096724163978697584617252192256.000000 250214929982703175136346657647778691125399976924039204814869281163375853215557488057922395399078208041145381945344.000000
2896217034062547054131890379837427858542550023489324778771856755023616363915220850191176634330225395818769037278576640.000000 46350331110402776009377147605885434076341938776836598093536095978877813678071171381155580120518686458164962909675847680.000000
82239072726535666178345982282910872368544014653380170441074899874153944828264135734271188767042150790422742013002242850816.000000 4661791675625961409202241982788304873924448282318759739430154894046450065283721974031815121222605995990879747821953504772096.000000
-6955000981057361455769214731385926720651414813119386980575481551642691514845005597635343148246198367211817048170685021141598208.000000 337334125757666377657720328451280725755068899806291446369054099885369003634063827901547618776914618471011273636552927571938902016.000000
-1443271631045565695005733357606453303977208729300386209805014638861515638065622517227180151104949532263821324720630893017349947916288.000000 16289628498536884404185192360269993198357929205665815192347664218998210960663282098722112540702486178367180565625110081434557117104128.000000
-150352894894233707010533858014684890776027202772546277691640491440822014821463064110020627313061895794857711370370290678591237504504954880.000000 89830832561092764922662849317613594708580501768700214136810002306722142710912868521480958432571559542218428680184822731925185765228675072.000000
-11200316112313892070042060616437549756513342918663494499687659395641627652593797060142347661201704212753089396531414290294278319373562972995584.000000 -89098241850154998942918100138411883656709335669156006653563515436610186201901824197857544224221310957813552102238806208903626895317078462431232.000000
-568361583030698541972372492454899379531488588101834864763031121711664248413636676486441985801414068219857459715278992663453463903789325585735483392.000000 -12505510365587846464943885159458009295575679733043671744286970909333401147275287287700887161697771007952670097966118800151518740481167746125394870272.000000
-6671076855720928763890289331381970978442458109587318189210909075798011594018610371643030778202527229891738109647820558725053057131296988255952023060480.000000 -1123720585382548823458615953286995064478776544990383154955747957221835598513542378412770847444861553602000724350627936869217549189330253745001397697380352.000000
2634457538516184267409050241359613738876025044651187897664626178842759683006127797284350175414766984448108128925527028687110119836827762973732408367605874688.000000 -73038532090652323559450780074691291679869419212165928725579244199185792731121783150148865093511764349408055600990826787783687471152823864823959079002281345024.000000
394692379011212599314083292908923991582879178935771421601763058916280927294702799391978485945367406401047951876522954445399057277996785108920813079556362197794816.000000 -2816879985239203805721912570105080088480562680655578699605606595653251766207647039928253286872255061306557814689889923836466060229433282284692412154700609143963648.000000
36569111350168488190853892949862637642926262500266455710387538331445127219654058923651727992762634990366751850901392193643803838120991827555137932099924437486046019584.000000 75771793944255910831872188517431466174902189193472775382197351305913971214243670133560723608454491283516147338873692956497884188300135199287335066797605917016459313152.000000
2453089302948928920374728149788787889174489173670537499600123558475985871782948876134899091648982686351035834278424147676205518104623147461079822865811953143715944674099200.000000 27651052670742769796396908727531790281015198517325745383072647898804369409194770266458661934899976423608667341306481412151688906342364889148413256270324844432821091494264832.000000
101888163270895546778906721728604800669444064609019054588108744587578063630617583762065054445600618190806908077603547807444968652345386747247816730021163606333439127159633346560.000000 3237426503107722690170260154917694764290766261519588261924190474820469932236475632991823183223308562067139838485470625717835743353470903451503082413136389445615218033116019949568.000000
