6.325986 0.000000
10276.868460 -7157.783824
14001004.843578 -34699058.183371
13425257936.259808 -90338937508.290833
-49791655529.519531 -185135799034073.500000
-42000367692353864.000000 -319483249978036544.000000
-136193087544037654528.000000 -460196545932616990720.000000
-311240879920776904441856.000000 -498319458148721362993152.000000
-585964841974322195322634240.000000 -183558546235291209029386240.000000
-932295137524231378822114574336.000000 957075239607613653922732834816.000000
-1200452588742098878215478965174272.000000 3679054836595735890922201082232832.000000
-991677623085984333266750794788503552.000000 8960884426340646288968406664501788672.000000
521771723830396271130722735382690004992.000000 17624769516641125885174248385853245095936.000000
4784340956780856779655072418277453165756416.000000 29290455294061125152194007909517743311814656.000000
13905627698841595042532470954141433471021613056.000000 40161161540303165588546335307340717592768675840.000000
30232645439012851109855809912023187586970061635584.000000 39096210995905365799610871366613770501312621838336.000000
54810252167990866424534283265165965915220971578458112.000000 1761326301099332919081437552430649932385384732295168.000000
83716154775603436386439465222680113199058512953038864384.000000 -116122269671302063044634312125197250321242772594868879360.000000
100960967810175857659595442906610343290378320332914289541120.000000 -382463571164264512516724058240457847135324210067425571373056.000000
66860918607809050062971864325892610357068396907171441379639296.000000 -879728319543337011776870441065420714160375632365141021052370944.000000
-97582132302294464225628991658461878083479719203018438144434372608.000000 -1663997026210252423975103510901409938616968599794379382223930392576.000000
-525153227664980520807848764950757570289212483438665004553052492922880.000000 -2660329361357081467744702131861867773254833006806588935388980618199040.000000
-1400728960279166771006678092397778911351428703483308827672257564950659072.000000 -3450671773503068095309808895831860542453870860699707847511097027422322688.000000
-2910671263705164945401396933245837534916629138066278931737623850087109099520.000000 -2911417929482989375279848317932900435583595470463853380137642282966121971712.000000
-5083824934925775493434717040379037613019983051970985636456004092941184001900544.000000 1302231425489988050234526789013293363838607156747191189954274735345566287396864.000000
-7433048699833656013578235623022286952066947901743139601419471834934387771065761792.000000 13300707868087787184895641101304068419789185624441259293756584318739531814926286848.000000
-8287014776185722224949682261849586086824050137839098975557552470470434187307485495296.000000 39120570260333701695449225842300341208336897292707127567377145130788692570563611197440.000000
-3738129893140696144486873343892281741479877750366292015920124117139262789355803714256896.000000 85548827793060190205381002288159337346074481355695108235704541474366339121487121399939072.000000
13690498064666832213527815501478033591162568681188106384760196690558383767102853326332493824.000000 155806101345759913914219768502391978447910682291092467703734600695668060660107612399819816960.000000
56093845788540773304536490204712309976825956981424037883540316582083443877018412797794711502848.000000 239196518557418714300571571931283515291905877702216350068127301002733553912570316032458063085568.000000
139435419032097430008986729575929678256976497278804430155843336375447285755625345287442039377494016.000000 290960637670413517452363311056719436312896600107188963839863742966744455939352775503743220455571456.000000
