15.509761 0.000000
-1145.767067 -12745.953235
63967.225403 1604208.232541
-1352094.474574 -153000975.944689
-267498440.548726 11698108532.443096
51415228692.375893 -668365498275.270630
-5954076672732.965820 16164739204362.433594
537268036041327.625000 2480094818062758.500000
-38688404517924672.000000 -503723583058049280.000000
1977612111579991040.000000 59380613942872997888.000000
-17474984074337271808.000000 -5425608166344503590912.000000
-12029810437567318851584.000000 396257359935265279311872.000000
1989461728803137867743232.000000 -20830590660100605465329664.000000
-217879079008226419159334912.000000 267906547328853227092312064.000000
18855845505501711063882661888.000000 113754511289287793260363776000.000000
-1291386742471695663760123363328.000000 -19577156140753380552944973250560.000000
59141190356625749494559571705856.000000 2178466298141700748609460128186368.000000
478486126487932237770003276890112.000000 -190872984586474006483571843537043456.000000
-514480250248491217092944168566652928.000000 13274011966899016333092660297779380224.000000
75952576865816514631880113670217269248.000000 -629834576234183482955703638802307219456.000000
-7906802899374432118450625602263866933248.000000 -1528975005102153564488834721909800173568.000000
656304111828323209087784350377773595885568.000000 4927781522744991216261785111784717824294912.000000
-42540972807672797187616977348280055918231552.000000 -750235802140913588415590595196227399574355968.000000
1686387254133547166139025770459997947406843904.000000 79248727155596962603641810225328261208159027200.000000
56232688586314161395009434140218684900584194048.000000 -6660167787982966863889453180935297716334542979072.000000
-21252615928726141214806652276157842458807235510272.000000 439075394501265672753054376108711651255428164091904.000000
2865885362594667273554272833296639850714754638151680.000000 -18252531101188871462190817314183277871745570806169600.000000
-284638588968702609251323096003793920173099840102727680.000000 -449491384963339763568475962169185522023072061592698880.000000
22645774316929928477248123076266738166530364873023422464.000000 205430347920931384099759233351708849082399048501521547264.000000
-1379874480501040502082502113765691760612547222031468331008.000000 -28402625110377381392107518448257221565396985938947856138240.000000
44587464671242136572107065249297228353032055619157758050304.000000 2859638673875754738607534048640693871981296505581051070906368.000000
3386992219124949464115284322462174146743774484042452463255552.000000 -230414634864268185771327403350720514641192947759258455420960768.000000
-855604404957414259545132938207517695909969624749661564329525248.000000 14311594993417550539748110554996266829266651886795087620631166976.000000
107011138761522839553522387863392295429949340151735999435208916992.000000 -495665584239689131181096502734787649640463225329337462868047560704.000000
-10166189624905438675424828180303819027966843502719381825697697759232.000000 -29994450357364391521269578936832465780201072819276714208375919869952.000000
774162058073160702888230454483620883964940719799677224224997272190976.000000 8327940708930504368010783416399314682024636359747900627695519192317952.000000
-43927221517044959662415463203677815505092103264993527959410471012925440.000000 -1063723686254710463862250590456827686326990192098183156763719053174898688.000000
1022750211416599627795174054322628448634152717112732026582069989093670912.000000 102373710251607102014392064134835466751732195558508140459928916253504176128.000000
169128445017358645258413496610838033122638405083414916749030924528329424896.000000 -7899216905845067374820029257365575450365001220265603923417891579699409190912.000000
-33758229218995790175398815925615485708583519023739360361509446021321504849920.000000 458327771585207368332414247124894409723780705973979098694740706502485802483712.000000
3957789557113883888071001569488879161416890976482285147677347544657550861402112.000000 -11998785553180655314833236832430853166336202057617845534794470284334051952164864.000000
-360249451149000508577706580872810504452923516177873662467599282801464411582103552.000000 -1559459303331236332998583819616445525980924879835472990373404328677022452703821824.000000
26198688078813349734284419348224500986355763091572396374072420518459091351358144512.000000 330401561106120591603273918385831028171486079925685839154920836070503694305322860544.000000
-1365798480552494747661384522121785319793136664297465879153686026133796780177547591680.000000 -39449990822726350284288516414451539684150057787001176005162649600114957969582347780096.000000
15947223089802358546460120005233656990691428487274520077408993099931131376163249717248.000000 3636213217658060824012556956985807288280744428103119871937361316978783605465896456290304.000000
7708702989951053552645887823216859617071277817590480125280420648745293427570421247508480.000000 -268151081607975220306690703933077533634056002165969487743600380628834552519831146647781376.000000
-1310223049145276764309391208929720687960320808096043942539290630715318916280052227596353536.000000 14359545672511724583082945645924245007671811098778879499928054152330737626027371474270027776.000000
145084526144657883681024497267115946711035235120846563751217306023948540632178772608943128576.000000 -221988137755689555724454017184439375015959605807806070866252318833785124469960208149129461760.000000
-12664379277807815950317190569853513656046348925375362150369997629591355589225006058470398492672.000000 -72650475617755375901893892990716042737156861278498396123023840939482973535251326285041121624064.000000
876677209742778640491818313263799107536355101408447089218486598508788379297400310680070100353024.000000 12882192600807246616976424424094828137029528729879721930957574639004243976197553164584667467218944.000000
-41163350608720036978031443388246692134519129979847613059981271169009828304082299158706078336679936.000000 -1449883485698550938690814182239959351699722546467610961726013528302701430311839027718973776700899328.000000
-168033888748101489348591532839195108384622233143227917648301517951424117251875709172850231236100096.000000 128134145967454514725234613044135273977634882241643730654429256724135414305016791934250502165545091072.000000
332585522306904071006794780422054148039771484708466715016010586584036215696445234387519240247755931648.000000 -9004281104621718954018852774531478160676793203716365810972349393286289837874139190726167575623716831232.000000
-50151889222125313571648535434680483296714192671004296511238914583738360272764043029803450914998377775104.000000 437241025136359974909153570561651291526813673089475004383268545298155899165638308772421862558493482942464.000000
5274002255052202288347341431410953634919087278103739717830979273501200520679154554964537352195057043636224.000000 -508350426629630401570444538012070377088026949964700144921908719977272243358046840003087429897377187627008.000000
-441567827936245188729678179402147700661990421696857000253175928188707168514612278983494854302522025197961216.000000 -3178320737152772625463689757077663189793979712157149742867923593170244458688425259087377813073125545688956928.000000
28962926709103572283143141091345749052443217987752112577024508866540399916580020516263950811902221839188885504.000000 495019311091999122618606624586744916849315715021602925550969048265328215078714517430775177348676230378090921984.000000
-1187313232078937967087195693826747762462117793313837285298004968055954283952020035909401721428962637893798461440.000000 -52834409129646827010073735769463994832559563394373756753834644838136193276250505269195512152070103092675861282816.000000
-32229044373172359918978382909947114487226038971918358223097567893675474951602149285612887600454594990773022752768.000000 4478680036555824894774381387572191987952307082839314856073428994513155419081370593289047091394139568631166097424384.000000
13825209652629955557553828034679475397844204711252239170619625097712047965632746931962559604164807753846061671645184.000000 -298663589985461546048106643226219228000127631677825213379116373132483325248696358320555438289231125294995168431177728.000000
-1896721974978622207954543890462943553735006343502351247996443622074045084844960982032842973235305460077275575184523264.000000 12800170054719577274361223637079401343429098422132103017370655573450555955663261925975662359483356951389536680195129344.000000
190172028203757632564159079950304704124654295183641509757462223612238036186475917562529480969616693885742792067212378112.000000 246304198088229892349680416465024852898326590780587014212070100214527783326992278000976566198389815335671270255372533760.000000
-15264311208847408957940474918649939297390942551990084324485069642372273038809514399693472130240255026446725703961218646016.000000 -133413118871735829837171451476958560431460606304880296473726805320498514144287932024281281866531101447984129359641657212928.000000
942671134375021853568355071008760454298999136819733254402349013227171514402808650977519680052297008305210321518877791485952.000000 18785321286404755312998476958765226010899409050500842103041406937346221272626692170164196578209702339955056076806158202961920.000000
-31997005913813865695557187505497549955229447104784955859004936422283138503434621014922673985683744527839977115500596034535424.000000 -1909650776840494712461157603022270595073480652418257839158579206925971352660425802981167115424000316873885813271142463816335360.000000
-2076330468697075379628037915750643508669629477209548624668124998494723657633949079643169846287978877432922839130734602452205568.000000 155223740546240558033872096071988415442480536197594928147848184655291836011243783326449871365197030090556484228575590958216773632.000000
559249114214075108493765275448731822628179882165144490294196630911678398975165192325432583566464357315837974385206022572353781760.000000 -9766494262457929870969275925825116367019722449891236925061386405912579683372815251680854531815553262425026869388663423337062465536.000000
-70970022748963569902153670255293046966541796829707889854927955347638945593156093417037434088136652459399445718988215069664329334784.000000 353263594920529386683633937295563513828808173494529746289737867026801695008646261054827316321561701759573312007062566382281357787136.000000
6803241523776191919592227344617887595198012003842745832931822362697302278381928073633360196074200391369011269920960118983065962807296.000000 18148495875547355569004570136510054673781489620434750516016831013745079048767425767626064102315278654240031599718640236496684702498816.000000
